FID,Join_Count,TARGET_FID,JOIN_FID,LSOA21CD,LSOA21NM,score_perc,accessibility,WDI,HSA
188,1,1,4981,E01000002,City of London 001B,0.52,0.58542826,1.666491937,0.975611476
189,1,1,4982,E01000002,City of London 001B,0.54,0.590307026,1.677549824,0.990269447
190,1,1,4983,E01000002,City of London 001B,0.41,0.582405585,1.688842808,0.983591483
191,1,1,4984,E01000002,City of London 001B,0.41,0.600055112,1.677151072,1.006383073
192,1,1,4985,E01000002,City of London 001B,0.42,0.577311236,1.691389623,0.976441863
193,1,1,4986,E01000002,City of London 001B,0.44,0.572605405,1.696646369,0.971508882
194,1,1,4987,E01000002,City of London 001B,0.48,0.615284596,1.648224593,1.014127203
195,1,1,4988,E01000002,City of London 001B,0.38,0.564534583,1.690893765,0.954569093
196,1,1,4989,E01000002,City of London 001B,0.46,0.59684841,1.677688554,1.001325746
197,1,1,4990,E01000002,City of London 001B,0.53,0.559439625,1.666218047,0.932148399
198,1,1,4991,E01000002,City of London 001B,0.51,0.576774347,1.697473757,0.979059318
199,1,1,4992,E01000002,City of London 001B,0.52,0.576056172,1.683414476,0.969741371
200,1,1,4993,E01000002,City of London 001B,0.54,0.562565263,1.672752654,0.941032537
201,1,1,4994,E01000002,City of London 001B,0.42,0.640433404,1.630825084,1.044649029
202,1,1,4995,E01000002,City of London 001B,0.52,0.588425303,1.624910509,0.955842746
203,1,1,4996,E01000002,City of London 001B,0.43,1.322300014,1.568449243,2.073960456
204,1,1,4997,E01000002,City of London 001B,0.49,1.296243544,1.583630146,2.052599104
205,1,1,4998,E01000002,City of London 001B,0.56,1.110876043,1.574520056,1.749096609
206,1,1,4999,E01000002,City of London 001B,0.3,1.255055087,1.558487153,1.955987229
207,1,1,5000,E01000002,City of London 001B,0.3,1.245871282,1.576287007,1.963850716
208,1,1,5001,E01000002,City of London 001B,0.56,1.072675835,1.61329485,1.730542401
209,1,1,5002,E01000002,City of London 001B,0.58,1.197174641,1.580460923,1.892087738
210,1,1,5003,E01000002,City of London 001B,0.56,1.046434073,1.627740521,1.703323144
211,1,1,5004,E01000002,City of London 001B,0.43,1.016891138,1.643253554,1.671009977
212,1,1,5005,E01000002,City of London 001B,0.42,0.815674666,1.648845607,1.34492159
213,1,1,5006,E01000002,City of London 001B,0.39,0.722407146,1.678524385,1.212578011
214,1,1,5007,E01000002,City of London 001B,0.54,1.20897676,1.613658695,1.94994872
215,1,1,5009,E01000002,City of London 001B,0.44,1.077955949,1.632347139,1.759598309
216,1,1,5010,E01000002,City of London 001B,0.41,1.016742682,1.648073678,1.675666851
217,1,1,5011,E01000002,City of London 001B,0.43,0.884751239,1.672307635,1.479576252
218,1,1,5012,E01000002,City of London 001B,0.36,0.667645012,1.691467834,1.129300062
219,1,1,5013,E01000002,City of London 001B,0.45,0.891185651,1.644441277,1.46550247
220,1,1,5014,E01000002,City of London 001B,0.48,0.80630148,1.659615331,1.338150298
221,1,1,5015,E01000002,City of London 001B,0.38,0.630594392,1.697546307,1.070463181
222,1,1,5016,E01000002,City of London 001B,0.49,0.599104629,1.652414425,0.98996913
223,1,1,5633,E01000002,City of London 001B,0.61,0.946155562,1.464334988,1.385488693
