FID,LSOA21CD,LSOA21NM,HSA,WDI,accessibility,score_perc
196,E01004747,Westminster 021E,1.387343825,1.423694701,0.971137502,0.512815534
197,E01004748,Westminster 020E,2.072107042,1.493113699,1.396464874,0.539076923
198,E01004749,Westminster 022B,3.679298013,1.350608898,2.716476515,0.505377358
199,E01004750,Westminster 023E,1.244136943,1.315536941,0.944654573,0.488965517
200,E01004751,Westminster 022C,1.363086445,1.32560764,1.032962434,0.525090909
201,E01004752,Westminster 022D,1.14681532,1.418710999,0.811050638,0.48875
202,E01004753,Westminster 022E,0.777950781,1.371808122,0.566898401,0.511923077
203,E01004757,Westminster 010C,0.547194843,1.701834623,0.322519877,0.460526316
204,E01004761,Westminster 018D,1.858676653,1.13192518,1.67064329,0.506865204
205,E01004762,Westminster 011E,1.481426973,1.131167562,1.300774135,0.524482759
206,E01004763,Westminster 013B,7.334875748,1.341867421,5.437781338,0.497821012
207,E01004765,Westminster 013D,3.053853963,1.257325774,2.412701778,0.512795699
208,E01032582,Lambeth 036E,1.773421056,1.748617577,1.008612439,0.482666667
209,E01032583,Southwark 034D,1.469137087,1.701840365,0.860041391,0.483656716
210,E01032584,Southwark 034E,0.965375948,1.612780193,0.598000721,0.520245902
211,E01032637,Southwark 035E,0.602003369,1.525548553,0.390528296,0.480888889
212,E01032639,Southwark 014F,0.950197296,1.501931922,0.629074753,0.474819277
213,E01032640,Southwark 035B,1.025783187,1.571061588,0.646125151,0.469873418
214,E01032646,Southwark 036B,1.180093747,1.646603942,0.708158411,0.487080745
215,E01032719,Southwark 014G,1.029711023,1.482422534,0.694996055,0.496944444
216,E01032739,City of London 001F,2.829412721,1.496966821,1.910016583,0.477162945
217,E01032740,City of London 001G,2.334415386,1.518760568,1.533224781,0.480277778
218,E01032767,Tower Hamlets 021F,2.094489279,1.524590141,1.379418438,0.487926829
219,E01032803,Southwark 036C,1.04499779,1.654655755,0.627941992,0.456438356
220,E01032834,Southwark 035C,0.347903103,1.481806724,0.233948179,0.433428571
221,E01033098,Wandsworth 038C,0.458304111,1.230776684,0.379843581,0.552
222,E01033132,Wandsworth 038D,0.234875802,1.443227239,0.164758988,0.457113402
223,E01033208,Lambeth 004G,0.657150858,1.756076423,0.374524643,0.486551724
224,E01033489,Islington 022G,2.955078289,1.592778099,1.864577621,0.496222222
225,E01033490,Islington 022H,2.849692959,1.610656975,1.786946989,0.501759259
226,E01033593,Westminster 015F,1.077978786,1.269893178,0.860819248,0.485555556
227,E01033594,Westminster 015G,1.657786621,0.995037589,1.717164478,0.478291139
228,E01033597,Westminster 023F,0.318065213,1.267866196,0.251195735,0.478684211
229,E01033599,Westminster 023G,0.292467992,1.28340218,0.227191283,0.439142857
230,E01033601,Westminster 009G,1.146215866,1.731402923,0.664261893,0.513333333
231,E01033602,Westminster 009H,1.231954909,1.712696918,0.720007033,0.483421053
232,E01033603,Westminster 009I,1.710823643,1.569711865,1.093335185,0.49875
233,E01033604,Westminster 009J,2.258813633,1.612593154,1.393469645,0.486521739
234,E01033605,Westminster 009K,2.642785936,1.661818277,1.58995006,0.47516129
235,E01033706,Hackney 033B,4.062729064,1.695725861,2.405783919,0.464125
236,E01033708,Hackney 033C,3.372925978,1.600971644,2.096322334,0.479787986
