FID,TARGET_FID,score_perc,accessibility,WDI,HSA
17524,81,0.44,0.746449079,1.678096685,1.252560856
17525,81,0.48,0.867472542,1.627529354,1.411821134
17526,81,0.5,0.876043352,1.685852471,1.476759578
17527,81,0.37,0.748600257,1.655410415,1.239170028
17528,81,0.54,0.775992621,1.622616458,1.259134104
17529,81,0.4,0.780823114,1.620368804,1.265088424
17530,81,0.45,0.757258085,1.66294038,1.259265902
17531,81,0.51,0.78856889,1.654752043,1.304772265
17532,81,0.49,0.651824838,1.694841266,1.104949501
17533,81,0.54,0.85087993,1.67969743,1.429012238
17534,81,0.6,0.637184092,1.662244524,1.059069587
17535,81,0.54,0.750001946,1.648065664,1.236006346
17536,81,0.45,0.797253505,1.637052022,1.305145462
17537,81,0.35,0.810886688,1.648681022,1.336893494
17538,81,0.53,0.677157779,1.654392556,1.118818919
17539,81,0.51,0.8162422,1.663614355,1.357927695
17540,81,0.51,0.818229857,1.667386137,1.364305121
17541,81,0.65,0.30443141,1.548389494,0.471378397
17542,81,0.56,0.458991397,1.582757747,0.72647219
17543,81,0.55,0.492729252,1.575287188,0.776190078
17544,81,0.52,0.49417032,1.57414147,0.777893994
17545,81,0.48,0.28102844,1.49039725,0.418844014
17546,81,0.55,0.48902363,1.495662751,0.731414429
17547,81,0.4,0.332884293,1.543411512,0.51377745
17548,81,0.55,0.439278724,1.539550412,0.67629174
17549,81,0.56,0.593370814,1.523167849,0.903803347
17550,81,0.53,0.443848312,1.558240387,0.691622365
17551,81,0.48,0.609249416,1.507896847,0.918685274
17552,81,0.51,0.652943674,1.538106039,1.004296608
17553,81,0.5,0.432937463,1.571367145,0.680303705
17554,81,0.41,0.379743171,1.602036842,0.608362551
17555,81,0.44,0.410431932,1.541901665,0.632845679
17556,81,0.48,0.268600713,1.518134733,0.407772072
17557,81,0.47,0.426658401,1.535279122,0.653964869
17558,81,0.43,0.286830994,1.518551554,0.435567652
17559,81,0.48,0.32972456,1.549171083,0.510799753
17560,81,0.6,0.59431956,1.595980877,0.948522653
17561,81,0.55,0.704080391,1.635516439,1.151535053
17562,81,0.47,0.480457282,1.539908654,0.739860326
17563,81,0.62,0.524966215,1.52247472,0.799247791
17564,81,0.59,0.57794809,1.570640905,0.90774891
17565,81,0.52,0.541366692,1.491011558,0.807183995
17566,81,0.6,0.485761809,1.602638983,0.778500812
17567,81,0.5,0.577235862,1.595874315,0.921195885
17568,81,0.46,0.587924903,1.59150829,0.935687357
17569,81,0.46,0.593827231,1.59150829,0.945080961
17570,81,0.52,0.623741869,1.618739807,1.009675793
17571,81,0.58,0.743046175,1.644683385,1.222075698
17572,81,0.48,0.598905208,1.673849833,1.002477383
17573,81,0.48,0.609466325,1.672907487,1.019580779
17574,81,0.35,0.610262058,1.660387186,1.013271301
17575,81,0.47,0.60971779,1.672907487,1.020001455
17576,82,0.36,0.958929479,1.368913423,1.312691435
17577,82,0.46,0.90446886,1.442841531,1.305005234
17578,82,0.42,0.934157571,1.427287703,1.333311613
17579,82,0.44,0.831140729,1.400027009,1.163619469
17580,82,0.48,0.903379222,1.435136889,1.296472846
17581,82,0.61,1.264636004,1.469608404,1.8585197
17582,82,0.56,1.065852798,1.379058809,1.46987369
17583,82,0.42,1.188927198,1.399623266,1.664050168
17584,82,0.35,1.253530087,1.399077519,1.753785764
17585,82,0.51,1.057835176,1.401002241,1.482029452
17586,82,0.34,1.092969531,1.407029526,1.537840402
17587,82,0.49,1.031712362,1.424147604,1.469310689
17588,82,0.37,1.115009467,1.423548028,1.58708863
17589,82,0.43,2.589840012,1.405076379,3.639545542
17590,82,0.6,2.569788894,1.42197409,3.654173224
17591,82,0.52,2.25725541,1.409600257,3.182081892
17592,82,0.49,2.407068983,1.401206966,3.372801828
17593,82,0.56,1.900056203,1.405889485,2.672770135
17594,82,0.38,1.39480113,1.429842751,1.994376285
17595,82,0.59,1.757313417,1.430479944,2.512524822
